Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA
2015-02-03,2.75999999,111.4869919,121.0500031,30.05841446,20.67527771,0.482663423,14.55733299,2.799999952,111.6073522,121.7600021,30.28995323,20.93729153,0.483143469,14.69133282,2.680000067,109.4971591,120.5599976,29.36380445,20.01627165,0.471862909,14.08466721,2.700000048,109.8421651,121.7399979,29.603611,20.01627165,0.474263023,14.21466732,22592300,1893100,8255900,238100,6356500,183468000,72393000
2015-02-04,2.849999905,111.1500244,121.5800018,30.71995163,20.67527771,0.483863592,14.56999969,2.920000076,112.2251751,122.2200012,30.88533242,20.79437462,0.489383862,14.76533318,2.75999999,110.9333856,120.9199982,30.05014808,20.29416546,0.479783374,14.4533329,2.779999971,111.3265432,121.6299973,30.07495456,20.55617928,0.481223483,14.55266666,34829300,1500500,5386700,265300,5277600,181516000,49581000
2015-02-05,3.309999943,111.2783813,121.7900009,31.3566761,20.91346741,0.491783977,14.73266697,3.369999886,111.6875771,121.8300018,31.38148574,21.04844429,0.492023971,15.03199959,2.869999886,110.7408061,120.6100006,30.73648865,20.66733363,0.483863592,14.64266682,2.880000114,111.1740715,120.9800034,30.73648865,20.78643052,0.484343581,14.65866661,73355600,1399500,6879900,221100,3833400,140448000,52843500
2015-02-06,3.029999971,111.7597961,118.6399994,31.16647148,20.07185173,0.489623815,14.49066734,3.210000038,112.610301,119.5199966,31.7535844,20.87377318,0.49706421,14.89333344,3,110.9654741,117.9499969,30.93493595,19.97657329,0.487463695,14.4333334,3.200000048,111.2783915,119.1500015,31.2822424,20.8340732,0.491303889,14.80000019,38300000,1428400,13206900,327200,3337300,210524000,48658500
2015-02-09,3.039999962,109.8742599,119.1699982,30.75303078,20.6673336,0.489143729,14.49866676,3.069999933,111.7357132,119.4000015,31.42283444,21.01668428,0.490583752,14.52866745,2.930000067,109.6255324,118.7699966,30.24034331,20.05596764,0.483623461,14.13266659,3.029999971,111.2462772,118.8300018,31.0920665,20.11948609,0.486743615,14.35866737,24133800,1902100,5237200,323300,4397200,273944000,52086000
2015-02-10,3.039999962,110.8531189,118.4700012,30.62010002,21.0802021,0.502824306,14.41933346,3.099999905,111.3104538,119.0599976,31.04376251,21.16754053,0.503064301,14.69999981,3.00999999,109.6816779,118.2099991,30.13828467,20.36561926,0.487463533,14.33333302,3.069999933,111.3104538,118.6299973,31.00222747,20.70703145,0.489623653,14.50333309,13995100,1361300,4086300,241100,3870500,226204000,80857500
2015-02-11,3.069999933,110.0908966,117.0699997,31.20991135,20.47677994,0.499464452,14.18666744,3.099999905,110.9173195,118.5699997,31.29298144,20.89758909,0.504024631,14.31599998,3,109.3768027,117,30.39581236,20.42913997,0.496104245,13.81866741,3.029999971,110.7969592,118.4899979,30.52042067,20.8817091,0.504024631,14.14733315,11741100,1297400,6784400,159800,3923600,320832000,146536500
2015-02-12,3.119999886,110.8451309,117.3399963,31.24314499,20.21476746,0.535226047,13.5253334,3.150000095,111.1660797,117.8199997,31.53389354,20.57205972,0.540026276,13.53933334,3.049999952,109.9705685,117.0899963,30.9939315,20.10361054,0.524905549,12.88533306,3.079999924,110.1390682,117.6800003,31.29298579,20.53236125,0.528025704,12.9046669,12975000,860900,4344400,242100,2969300,676904000,234744000
2015-02-13,3.150000095,110.4118347,117.9800034,31.69172478,20.14331055,0.535466075,13.58466721,3.180000067,110.8852202,118.5800018,31.70003052,20.34180591,0.536186115,13.73266697,3.109999895,109.8983291,117.7900009,30.92746663,19.99245364,0.525865616,13.39400005,3.130000114,110.4840436,118.0500031,31.05207493,20.08773057,0.534025995,13.52666664,9627600,1361700,4108900,216600,2776700,310084000,92865000
2015-02-17,3.109999895,110.7648773,116.0100021,31.59204102,19.8336544,0.537146091,13.62333298,3.170000076,110.9333647,116.5400009,31.75818439,20.02420975,0.539786257,13.71333313,3.079999924,109.328658,115.5800018,31.29298358,19.56370061,0.531145834,13.4333334,3.160000086,110.1711315,116.4000015,31.69172894,20.02420975,0.534505983,13.71333313,8678100,1242400,7225200,194700,4148100,203340000,59694000
